,Name,Position,Research,BS/BA,MS,PhD
60,Michael Lustig,Associate Professor ,"['Signal Processing (SP)', 'Scientific Computing (SCI)', 'Physical Electronics (PHY)', 'Information, Data, Network, and Communication Sciences (IDNCS)', 'Biosystems & Computational Biology (BIO)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Artificial Intelligence (AI)', 'Computer Architecture & Engineering (ARC)', 'Database Management Systems (DBMS)', 'Design, Modeling and Analysis (DMA)', 'Energy (ENE)', 'Graphics (GR)', 'Human-Computer Interaction (HCI)', 'Integrated Circuits (INC)', 'Micro/Nano Electro Mechanical Systems (MEMS)', 'Operating Systems & Networking (OSNT)', 'Programming Systems (PS)', 'Security (SEC)']","[' 2001, bsc, ee, technion, iit\n                ']","[' 2004, msc, ee, stanford university']","[' \n                    2008, phd, ee, stanford university']"
61,Jitendra Malik,Professor ,"['Artificial Intelligence (AI)', 'Biosystems & Computational Biology (BIO)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Graphics (GR)', 'Human-Computer Interaction (HCI)', 'Signal Processing (SP)']",['NA'],['NA'],"[' 1975, phd, computer science, stanford university\n                ']"
62,Jelani Nelson,Professor ,"['Theory (THY)', 'Database Management Systems (DBMS)']",['NA'],"[' 2005, sb, computer science, mathematics, mit\n                \n                \n                                ']","[' \n                    2011, phd, computer science, mit']"
63,Ren Ng,Assistant Professor ,"['Graphics (GR)', 'Signal Processing (SP)', 'Artificial Intelligence (AI)']","[' 2001, bs, mathematical and computational science, stanford university\n                ']","[' 2006, ms, computer science, stanford university', ' 2001, bs, mathematical and computational science, stanford university\n                ']","[' \n                    2006, phd, computer science, stanford university']"
64,James O'Brien,Professor ,"['Graphics (GR)', 'Human-Computer Interaction (HCI)', 'Scientific Computing (SCI)']","[' 1992, bs, computer science, florida international university\n                ']","[' 1997, ms, computer science, georgia institute of technology']","[' \n                    2000, phd, computer science, georgia institute of technology']"
65,Christos Papadimitriou,Professor Emeritus ,"['Biosystems & Computational Biology (BIO)', 'Theory (THY)']",N/A,N/A,N/A
66,Aditya Parameswaran,Assistant Professor ,"['Database Management Systems (DBMS)', 'Human-Computer Interaction (HCI)']","[' 2007, btech, computer science and engineering, iit bombay\n                ']",['NA'],"[' \n                    2013, phd, computer science, stanford']"
67,Beresford N. Parlett,Professor Emeritus ,[],N/A,N/A,N/A
68,David A. Patterson,"Professor Emeritus , Professor in the Graduate School","['Computer Architecture & Engineering (ARC)', 'Operating Systems & Networking (OSNT)']",['NA'],"[' 1970, ms, computer science, ucla', ' 1969, ab, mathematics, ucla\n                ']","[' \n                    1976, phd, computer science, ucla']"
69,Eric Paulos,Associate Professor ,['Human-Computer Interaction (HCI)'],N/A,N/A,N/A
