Anil Damle,"; Computer Science, CS Field Member, Ph.D., Stanford University, 2016","Research Focus:
Development of algorithms in applied and computational mathematics (e.g. numerical linear algebra, computational quantum chemistry, and spectral clustering)"
Cristian Danescu-Niculescu-Mizil,"; Information Science, CS Field Member","Research Focus:
Computational Social Science, Social Computing, Computational Linguistics, Natural Language Processing"
Abe Davis,; Computer Science,"Research Focus:
Computer Graphics, Vision, HCI"
Christopher De Sa,"; Computer Science, CS Field Member, PhD., Stanford University, 2017","Research Focus:
Developing and understanding algorithmic, software, and hardware techniques for high-performance machine learning"
Christina  Delimitrou,"; Electrical and Computer Engineering, CS Field Member","Research Focus:
Computer Architecture, Computer Systems, Datacenter Systems, Cloud Computing, Applied Data Mining"
Nicola Dell,"; Information Science, Cornell Tech, CS Field Member","Research Focus:
Human computer interaction (HCI) and Information and Communication Technologies for Development (ICTD)"
Alan Demers,"; Computer Science, CS Field Member","Research Focus:
Database systems, database replication, and algorithms"
Shimon Edelman,"; Psychology, CS Field Member","Research Focus:
Human and machine cognition (in particular, visual recognition and natural language processing)"
Deborah Estrin,"; Computer Science, Cornell Tech, CS Field Member; Associate Dean for Impact at Cornell Tech","Research Focus:
Mobile systems and applications, participatory sensing, health applications, privacy"
K-Y. Fan,; Computer Science,"Research Focus:
The application of systems analysis techniques for water resources and environmental problems"
Nate Foster,"; Computer Science, CS Field Member","Research Focus:
Programming languages, data management, and security"
Michael George,; Computer Science,"Research Focus:
Programming languages and methodologies for building correct, secure and efficient software"
Carla Gomes,"; CIS and Applied Economics and Management; Computer Science, CS Field Member","Research Focus:
Solving hard combinatorial problems, with an emphasis on planning and scheduling problems"
Donald Greenberg,"; Architecture, Computer Science, , CS Field Member; Director, Program of Computer Graphics; Jacob Gould Schurman Professor of Computer Science","Research Focus:
Computer graphics and its applications in a range of disciplines, from animation to architecture to biology"
David Gries,; Computer Science,"Research Focus:
Program methodology and related areas; logic; teaching in lower level courses"
Francois Guimbretiere,"; Information Science, CS Field Member","Research Focus:
Computer Interfaces"
Nika Haghtalab,"; Computer Science, CS Field Member","Research Focus:
Social and Economic Aspects of Machine Learning, Theory of Machine Learning, Algorithmic Economics, Artificial Intelligence, Algorithms, and Optimization"
Joseph Halpern,"; Computer Science, CS Field Member, Joseph C Ford Professor of Engineering","Research Focus:
Reasoning about knowledge and uncertainty, distributed computing, causality, security, game theory"
Bharath Hariharan,"; Computer Science, CS Field Member, Ph.D., University of California, Berkeley, 2015","Research Focus:
Rich visual understanding (object recognition, object detection, segmentation and beyond), machine learning (deep learning, convolutional networks)"
Juris Hartmanis,; Computer Science; Emeritus Walter R. Read Professor of Computer Science and Engineering; Turing Award Winner,"Research Focus:
Computational complexity theory"
Haym Hirsh,"; Computer Science, Information Science, CS Field Member","Research Focus:
Artificial intelligence, collective intelligence, crowdsourcing, data mining, human computation, information retrieval, machine learning"
Guy Hoffman,"; Mechanical and Aerospace Engineering, CS Field Member","Research Focus:
Human-Robot Interaction; human-robot teamwork and collaboration; robotic personal companions; non-anthropomorphic robot design; embodied cognition in probots"
John Hopcroft,"; Computer Science, CS Field Member,  IBM Professor of Engineering and Applied Mathematics in Computer Science; Turing Award Winner","Research Focus:
Algorithms, information capture and access, random graphs and spectral methods"
Thorsten Joachims,"; Computer Science, CS Field Member","Research Focus:
Machine learning and learning theory, with a focus on problems arising in information retrieval and natural language understanding"
Wendy Ju,"; Information Science, CS Field Member","Research Focus:
Interaction with Automation; Interaction Design Research; Human Robot Interaction; Automotive Interaction Design"
Ari Juels,"; Computer Science, Cornell Tech (Jacobs Inst), CS Field Member","Research Focus:
Big Data, Security Analytics, Cybersecurity, Cloud security, User authentication, Privacy, Medical-device security, Biometric security, and RFID / NFC security"
Malte Jung,"; Information Science, CS Field Member","Research Focus:
Computer-supported cooperative work, teamwork, emotion, human-robot interaction, design"
Nathan Kallus,"; Operations Research and Information Engineering, Cornell Tech, CS Field Member","Research Focus:
Causal inference; Machine learning; Personalization; Optimization in statistics; Data-driven optimization under uncertainty; Online decision making; Decision making and operations in healthcare."
Alon Keinan,"; Comp Biology, CS Field Member","Research Focus:
Human genetic variation in evolutionary history; theoretical tools applied to genomic data sets; theoretical population genetics and empirical studies"
Jon Kleinberg,"; Computer Science, CS Field Member; Tisch Univ Professor","Research Focus:
Algorithm design, with an emphasis on the social and information networks that underpin the Web and other on-line media"
Robert Kleinberg,"; Computer Science, CS Field Member, Director of Graduate Studies","Research Focus:
Design and analysis of algorithms, especially randomized and on-line algorithms for networked systems and electronic markets"
Ross Knepper,"; Computer Science, CS Field Member","Research Focus:
Robotics, industrial automation, planning, manipulation, human-robot interaction, artificial intelligence"
Dexter Kozen,"; Computer Science, CS Field Member; Director of Masters of Engineering Program; Joseph Newton Pew, Jr. Professor in Engineering","Research Focus:
Computational complexity, program logic and semantics, computational algebra"
Hadas Kress-Gazit,"; Mechanical and Aerospace Engineering, CS Field Member","Research Focus:
Robotics, motion planning, task planning, language for robotics and human robot interaction"
Volodymyr Kuleshov,"; Computer Science, Cornell Tech","Research Focus:
Artificial intelligence, machine learning, and computational genomics"
Daniel Lee,"; Electrical and Computer Engineering, CS Field Member","Research Focus:
Machine Learning, Robotics, Computational Neuroscience"
